Machine ,"Reason
Remarks",Date Label,"Attended
By","Duration
Log >> Close/Now",Production or Process Defect?
13,4,0,9,0,1
21,4,0,9,18,1
64,4,0,11,13,1
59,0,0,11,10,0
67,1,0,11,9,0
7,0,0,9,3,0
13,4,0,9,5,1
66,0,0,11,30,0
51,0,1,11,16,0
64,0,1,11,6,0
64,0,1,11,6,0
57,1,1,11,11,0
4,4,1,9,8,1
0,0,1,9,3,0
6,1,0,14,30,0
8,4,0,4,19,1
51,0,0,20,12,0
58,0,0,12,15,0
7,0,0,4,36,0
35,0,0,19,19,0
4,1,0,14,5,0
60,3,0,12,5,1
1,1,0,14,11,0
53,3,0,12,11,1
41,0,0,24,11,0
5,4,0,14,36,1
42,3,0,24,16,1
8,0,0,4,16,0
14,0,0,4,20,0
10,0,0,4,13,0
32,0,0,19,8,0
53,1,0,12,15,0
50,3,0,20,8,1
36,3,0,24,25,1
8,1,0,14,20,0
28,0,0,19,15,0
41,0,0,24,8,0
14,1,0,4,6,0
51,3,0,12,3,1
50,3,0,12,24,1
36,3,0,24,10,1
29,0,0,19,40,0
46,0,0,24,14,0
58,4,0,20,34,1
28,1,0,19,28,0
56,1,0,20,32,0
40,0,0,24,26,0
63,0,1,12,7,0
4,1,1,14,13,0
44,3,1,12,7,1
36,3,1,24,9,1
67,1,1,12,11,0
32,4,1,24,18,1
29,0,1,24,11,0
7,1,1,14,17,0
32,0,1,19,25,0
42,3,1,24,8,1
63,0,1,20,22,0
40,1,1,24,11,0
53,1,1,12,13,0
63,0,1,12,14,0
6,1,1,14,17,0
4,0,1,4,12,0
51,0,1,12,11,0
44,0,1,24,19,0
9,4,2,14,33,1
17,0,2,4,9,0
60,0,2,21,7,0
41,4,2,21,48,1
39,1,2,7,10,0
66,1,2,18,14,0
40,1,3,7,38,0
28,0,3,8,19,0
42,3,3,7,17,1
50,0,3,8,5,0
41,4,3,7,26,1
55,1,3,10,12,0
47,0,3,22,17,0
65,1,3,18,10,0
52,0,3,10,9,0
11,0,3,16,9,0
42,1,0,7,12,0
28,1,0,24,26,0
20,0,0,4,9,0
15,0,0,14,7,0
39,1,0,24,33,0
40,1,0,19,20,0
42,3,0,24,19,1
44,3,0,24,27,1
35,3,0,19,25,1
51,4,0,12,10,1
22,0,0,4,23,0
15,0,0,14,5,0
59,3,0,12,12,1
58,0,0,12,26,0
21,0,0,19,24,0
18,1,0,14,28,0
12,0,0,4,12,0
12,0,0,4,30,0
43,0,0,24,7,0
53,3,0,12,11,1
51,4,0,12,5,1
56,1,0,12,18,0
44,1,0,14,6,0
31,1,0,14,10,0
64,0,1,20,7,0
23,3,1,4,9,1
62,3,1,12,11,1
68,1,1,20,10,0
51,3,1,20,5,1
41,0,1,24,8,0
60,0,1,20,15,0
51,3,1,12,1,1
36,0,1,24,3,0
39,3,1,24,13,1
11,0,1,4,18,0
55,3,1,12,6,1
27,1,1,19,7,0
41,0,2,24,11,0
52,1,2,12,9,0
43,1,2,24,6,0
17,0,2,4,9,0
62,0,2,11,10,0
62,0,2,15,18,0
30,1,2,13,14,0
46,0,2,21,19,0
4,1,2,25,22,0
53,0,2,11,6,0
65,0,2,15,6,0
32,0,2,18,15,0
43,1,2,21,6,0
1,0,2,9,2,0
62,0,2,15,9,0
4,0,2,25,23,0
30,1,2,0,31,0
6,0,2,25,17,0
4,0,2,25,47,0
55,0,2,11,14,0
18,4,2,9,12,1
66,0,2,15,6,0
62,3,2,15,13,1
60,0,3,11,5,0
6,0,3,9,11,0
11,0,3,15,46,0
55,0,3,11,34,0
8,1,3,15,22,0
46,0,3,21,19,0
45,4,3,21,12,1
56,0,0,12,14,0
0,0,0,14,14,0
46,0,0,24,10,0
62,0,0,12,12,0
46,0,0,24,11,0
0,0,0,14,15,0
42,3,0,24,4,1
16,0,0,3,13,0
12,0,0,14,12,0
46,0,0,24,15,0
69,4,0,20,23,1
28,1,0,24,13,0
47,0,0,24,10,0
35,4,0,12,14,1
63,1,0,20,22,0
7,0,0,14,18,0
12,0,0,3,17,0
7,0,0,14,21,0
32,1,0,24,16,0
60,0,0,20,8,0
44,0,0,24,42,0
62,0,0,20,15,0
60,0,0,12,4,0
47,1,0,24,10,0
54,0,0,24,10,0
62,4,0,24,13,1
36,0,1,24,2,0
12,3,1,3,18,1
32,3,1,3,26,1
36,0,1,24,5,0
52,4,1,20,26,1
16,1,1,3,10,0
58,3,1,12,6,1
66,0,1,12,9,0
5,1,1,14,8,0
42,3,1,24,11,1
39,0,1,24,8,0
22,1,1,3,29,0
13,4,1,14,4,1
36,0,1,24,15,0
39,3,1,24,30,1
32,0,1,24,9,0
9,0,1,24,32,0
7,0,1,14,8,0
61,3,1,12,8,1
62,0,1,12,47,0
5,0,1,14,46,0
62,0,1,20,9,0
49,1,1,20,16,0
51,4,1,12,10,1
32,0,2,24,5,0
59,0,2,11,8,0
43,0,2,21,8,0
39,0,2,21,5,0
9,0,2,9,57,0
52,3,2,15,11,1
62,0,2,15,35,0
42,3,2,21,4,1
60,4,2,15,9,1
50,0,3,15,10,0
50,0,3,11,16,0
54,1,3,11,10,0
38,1,3,21,35,0
